priority,document_id,document_title,document_type,business_area,plant,owner_id,status,rule_id,rule_name,issue_description,recommended_action,target_resolution_days,data_quality_score,risk_category
Critical,DOC-10009,Non-Disclosure Agreement - DOC-10009,NDA,Finance,CHI-01,OWN-036,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10009,Non-Disclosure Agreement - DOC-10009,NDA,Finance,CHI-01,OWN-036,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10009,Non-Disclosure Agreement - DOC-10009,NDA,Finance,CHI-01,OWN-036,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10073,Quality Inspection Record - DOC-10073,Quality Record,Compliance,CHI-01,OWN-042,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10073,Quality Inspection Record - DOC-10073,Quality Record,Compliance,CHI-01,OWN-042,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10073,Quality Inspection Record - DOC-10073,Quality Record,Compliance,CHI-01,OWN-042,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10079,Standard Operating Procedure - DOC-10079,SOP,Compliance,ELP-01,OWN-050,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10079,Standard Operating Procedure - DOC-10079,SOP,Compliance,ELP-01,OWN-050,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10079,Standard Operating Procedure - DOC-10079,SOP,Compliance,ELP-01,OWN-050,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10097,Service Contract Agreement - DOC-10097,Contract,Quality,QRO-01,OWN-044,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10097,Service Contract Agreement - DOC-10097,Contract,Quality,QRO-01,OWN-044,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10097,Service Contract Agreement - DOC-10097,Contract,Quality,QRO-01,OWN-044,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10101,Service Contract Agreement - DOC-10101,Contract,Engineering,MTY-01,OWN-007,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10101,Service Contract Agreement - DOC-10101,Contract,Engineering,MTY-01,OWN-007,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10101,Service Contract Agreement - DOC-10101,Contract,Engineering,MTY-01,OWN-007,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10134,Quality Inspection Record - DOC-10134,Quality Record,Engineering,QRO-01,OWN-020,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10134,Quality Inspection Record - DOC-10134,Quality Record,Engineering,QRO-01,OWN-020,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10134,Quality Inspection Record - DOC-10134,Quality Record,Engineering,QRO-01,OWN-020,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10135,Regulatory Compliance Document - DOC-10135,Compliance Document,Engineering,CHI-01,OWN-026,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10135,Regulatory Compliance Document - DOC-10135,Compliance Document,Engineering,CHI-01,OWN-026,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10135,Regulatory Compliance Document - DOC-10135,Compliance Document,Engineering,CHI-01,OWN-026,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10139,Service Contract Agreement - DOC-10139,Contract,Finance,QRO-01,OWN-048,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10139,Service Contract Agreement - DOC-10139,Contract,Finance,QRO-01,OWN-048,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10139,Service Contract Agreement - DOC-10139,Contract,Finance,QRO-01,OWN-048,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10148,Regulatory Compliance Document - DOC-10148,Compliance Document,Operations,CHI-01,OWN-003,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10148,Regulatory Compliance Document - DOC-10148,Compliance Document,Operations,CHI-01,OWN-003,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10148,Regulatory Compliance Document - DOC-10148,Compliance Document,Operations,CHI-01,OWN-003,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10153,Quality Inspection Record - DOC-10153,Quality Record,Quality,QRO-01,OWN-047,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10153,Quality Inspection Record - DOC-10153,Quality Record,Quality,QRO-01,OWN-047,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10153,Quality Inspection Record - DOC-10153,Quality Record,Quality,QRO-01,OWN-047,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
Critical,DOC-10223,Standard Operating Procedure - DOC-10223,SOP,Supply Chain,MTY-01,OWN-002,Active,DQ-001,Active Document Is Expired,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk
Critical,DOC-10223,Standard Operating Procedure - DOC-10223,SOP,Supply Chain,MTY-01,OWN-002,Active,DQ-004,Active Document Missing Approval,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk
Critical,DOC-10223,Standard Operating Procedure - DOC-10223,SOP,Supply Chain,MTY-01,OWN-002,Active,DQ-005,Confidential Document Missing Approval,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk
