audit_id,document_id,document_title,document_type,business_area,plant,owner_id,status,rule_id,rule_name,severity,issue_detected,issue_description,recommended_action,target_resolution_days,data_quality_score,risk_category,total_issues,critical_issues,high_issues,medium_issues,low_issues
AUD-000013,DOC-10009,Non-Disclosure Agreement - DOC-10009,NDA,Finance,CHI-01,OWN-036,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000014,DOC-10009,Non-Disclosure Agreement - DOC-10009,NDA,Finance,CHI-01,OWN-036,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000015,DOC-10009,Non-Disclosure Agreement - DOC-10009,NDA,Finance,CHI-01,OWN-036,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000129,DOC-10073,Quality Inspection Record - DOC-10073,Quality Record,Compliance,CHI-01,OWN-042,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000130,DOC-10073,Quality Inspection Record - DOC-10073,Quality Record,Compliance,CHI-01,OWN-042,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000131,DOC-10073,Quality Inspection Record - DOC-10073,Quality Record,Compliance,CHI-01,OWN-042,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000137,DOC-10079,Standard Operating Procedure - DOC-10079,SOP,Compliance,ELP-01,OWN-050,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,5,3,1,1,0
AUD-000139,DOC-10079,Standard Operating Procedure - DOC-10079,SOP,Compliance,ELP-01,OWN-050,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,5,3,1,1,0
AUD-000140,DOC-10079,Standard Operating Procedure - DOC-10079,SOP,Compliance,ELP-01,OWN-050,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,5,3,1,1,0
AUD-000168,DOC-10097,Service Contract Agreement - DOC-10097,Contract,Quality,QRO-01,OWN-044,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000169,DOC-10097,Service Contract Agreement - DOC-10097,Contract,Quality,QRO-01,OWN-044,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000170,DOC-10097,Service Contract Agreement - DOC-10097,Contract,Quality,QRO-01,OWN-044,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000182,DOC-10101,Service Contract Agreement - DOC-10101,Contract,Engineering,MTY-01,OWN-007,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000183,DOC-10101,Service Contract Agreement - DOC-10101,Contract,Engineering,MTY-01,OWN-007,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000184,DOC-10101,Service Contract Agreement - DOC-10101,Contract,Engineering,MTY-01,OWN-007,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000241,DOC-10134,Quality Inspection Record - DOC-10134,Quality Record,Engineering,QRO-01,OWN-020,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000242,DOC-10134,Quality Inspection Record - DOC-10134,Quality Record,Engineering,QRO-01,OWN-020,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000243,DOC-10134,Quality Inspection Record - DOC-10134,Quality Record,Engineering,QRO-01,OWN-020,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
AUD-000245,DOC-10135,Regulatory Compliance Document - DOC-10135,Compliance Document,Engineering,CHI-01,OWN-026,Active,DQ-001,Active Document Is Expired,Critical,True,Document is marked as active but the expiration date has already passed.,"Renew the document, update the expiration date, or change the document status.",7,0,Critical Risk,4,3,0,1,0
AUD-000246,DOC-10135,Regulatory Compliance Document - DOC-10135,Compliance Document,Engineering,CHI-01,OWN-026,Active,DQ-004,Active Document Missing Approval,Critical,True,Active document does not have a valid approval status.,Route the document for approval or update the approval record.,7,0,Critical Risk,4,3,0,1,0
AUD-000247,DOC-10135,Regulatory Compliance Document - DOC-10135,Compliance Document,Engineering,CHI-01,OWN-026,Active,DQ-005,Confidential Document Missing Approval,Critical,True,Confidential or restricted document does not have formal approval.,Obtain formal approval for the document.,7,0,Critical Risk,4,3,0,1,0
