document_id,document_type,document_title,business_area,plant,owner_id,status,version,effective_date,expiration_date,last_review_date,next_review_date,approval_status,confidentiality_level,file_reference,created_date,updated_date
DOC-10001,NDA,Non-Disclosure Agreement - DOC-10001,Operations,CHI-01,OWN-027,Active,v4.0,2026-04-05,2027-01-05,2026-09-03,2027-04-13,Approved,Internal,SAP/DOCS/DOC-10001.pdf,2026-04-04,2026-09-20
DOC-10002,Work Instruction,Operational Work Instruction - DOC-10002,Compliance,QRO-01,OWN-046,Active,v2.0,2025-10-29,2027-07-04,2026-09-08,2027-08-23,Approved,Internal,SAP/DOCS/DOC-10002.pdf,2025-10-10,2027-05-27
DOC-10003,NDA,Non-Disclosure Agreement - DOC-10003,Finance,CHI-01,OWN-034,Obsolete,v1.2,2023-07-23,2025-09-08,2024-04-22,2025-02-24,Approved,Restricted,,2023-07-19,2023-09-28
DOC-10004,Compliance Document,Regulatory Compliance Document - DOC-10004,Engineering,,OWN-039,Draft,v5.9,2025-07-05,2025-06-05,2025-12-08,2026-11-01,Approved,Public,SAP/DOCS/DOC-10004.pdf,2025-06-27,2026-12-15
DOC-10005,Contract,Service Contract Agreement - DOC-10005,Finance,QRO-01,OWN-043,Expired,v1.0,2025-01-11,2026-04-07,2025-08-31,2026-04-01,Approved,Internal,SAP/DOCS/DOC-10005.pdf,2024-12-26,2026-04-10
DOC-10006,NDA,Non-Disclosure Agreement - DOC-10006,Compliance,ELP-01,OWN-005,Active,v2.7,2024-07-05,2025-09-29,2024-10-10,2025-07-06,Rejected,Internal,SAP/DOCS/DOC-10006.pdf,2024-06-02,2025-12-11
DOC-10007,Quality Record,Quality Inspection Record - DOC-10007,Compliance,QRO-01,OWN-043,Active,v3.1,2026-03-12,2025-08-31,2027-01-19,2027-10-02,Approved,Restricted,SAP/DOCS/DOC-10007.pdf,2026-03-11,2026-06-29
DOC-10008,Contract,Service Contract Agreement - DOC-10008,Operations,ELP-01,OWN-033,Active,v1.1,2024-06-19,2025-07-12,2025-06-08,2026-02-10,Approved,Restricted,SAP/DOCS/DOC-10008.pdf,2024-05-28,2026-03-09
DOC-10009,NDA,Non-Disclosure Agreement - DOC-10009,Finance,CHI-01,OWN-036,Active,v1.1,2024-01-26,2025-04-18,2024-05-17,2025-03-06,Pending,Confidential,SAP/DOCS/DOC-10009.pdf,2023-12-16,2024-05-17
DOC-10010,SOP,Standard Operating Procedure - DOC-10010,Compliance,CHI-02,OWN-024,Expired,v1.5,2024-02-18,2024-12-24,2024-04-09,2024-12-23,Rejected,Confidential,SAP/DOCS/DOC-10010.pdf,2024-01-21,2024-08-24
