document_id,document_title,document_type,business_area,plant,owner_id,status,approval_status,confidentiality_level,total_issues,critical_issues,high_issues,medium_issues,low_issues,total_penalty_points,data_quality_score,risk_category
DOC-10237,Regulatory Compliance Document - DOC-10237,Compliance Document,Engineering,QRO-01,OWN-029,Active,Missing,Restricted,5,4,0,1,0,130,0,Critical Risk
DOC-10568,Quality Inspection Record - DOC-10568,Quality Record,Supply Chain,QRO-01,OWN-007,Active,Pending,Restricted,5,4,0,1,0,130,0,Critical Risk
DOC-10764,Operational Work Instruction - DOC-10764,Work Instruction,Program Management,CHI-02,OWN-007,Active,Missing,Restricted,5,4,0,1,0,130,0,Critical Risk
DOC-10574,Standard Operating Procedure - DOC-10574,SOP,Compliance,CHI-02,OWN-018,Active,Missing,Confidential,4,4,0,0,0,120,0,Critical Risk
DOC-10615,Regulatory Compliance Document - DOC-10615,Compliance Document,Supply Chain,MTY-01,OWN-037,Active,Missing,Confidential,4,4,0,0,0,120,0,Critical Risk
DOC-10648,Service Contract Agreement - DOC-10648,Contract,Quality,ELP-01,OWN-017,Active,Missing,Confidential,4,4,0,0,0,120,0,Critical Risk
DOC-10818,Quality Inspection Record - DOC-10818,Quality Record,Finance,MTY-01,OWN-033,Active,Missing,Restricted,4,4,0,0,0,120,0,Critical Risk
DOC-10972,Quality Inspection Record - DOC-10972,Quality Record,Operations,CHI-02,OWN-042,Active,Missing,Confidential,4,4,0,0,0,120,0,Critical Risk
DOC-10079,Standard Operating Procedure - DOC-10079,SOP,Compliance,ELP-01,OWN-050,Active,Pending,Confidential,5,3,1,1,0,120,0,Critical Risk
DOC-10223,Standard Operating Procedure - DOC-10223,SOP,Supply Chain,MTY-01,OWN-002,Active,Missing,Restricted,5,3,1,1,0,120,0,Critical Risk
DOC-10589,Quality Inspection Record - DOC-10589,Quality Record,Supply Chain,CHI-01,OWN-012,Active,Missing,Restricted,5,3,1,1,0,120,0,Critical Risk
DOC-10637,Operational Work Instruction - DOC-10637,Work Instruction,Program Management,CHI-02,OWN-023,Active,Missing,Restricted,5,3,1,1,0,120,0,Critical Risk
DOC-10803,Service Contract Agreement - DOC-10803,Contract,Supply Chain,CHI-01,OWN-023,Active,Missing,Confidential,5,3,1,1,0,120,0,Critical Risk
DOC-10832,Operational Work Instruction - DOC-10832,Work Instruction,Operations,MTY-01,OWN-023,Active,Missing,Confidential,5,3,1,1,0,120,0,Critical Risk
DOC-10997,Service Contract Agreement - DOC-10997,Contract,Engineering,CHI-02,OWN-027,Active,Missing,Restricted,5,3,1,1,0,120,0,Critical Risk
DOC-10346,Service Contract Agreement - DOC-10346,Contract,Operations,CHI-02,OWN-050,Active,Pending,Restricted,4,3,1,0,0,110,0,Critical Risk
